Sampling rate 50 Hz,,,,,
Mouse 1,Mouse 1,Mouse 2,Mouse 2,Mouse 3,Mouse 3
Run1,Run1,Run1,Run1,Run1,Run1
"5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion"
465nm,405nm,465nm,405nm,465nm,405nm
1.585004,1.1552238,1.3957226,1.2526988,1.4124238,1.1490494
1.5921906,1.1634227,1.3986579,1.2574561,1.4061482,1.1407495
1.6083858,1.154414,1.3984555,1.2534072,1.3752761,1.1215177
1.5988711,1.1577543,1.394103,1.256039,1.4043263,1.1284006
1.6111188,1.1653459,1.389953,1.2581646,1.4103994,1.1269835
1.5973529,1.1629165,1.3946092,1.2380219,1.3989617,1.132247
1.5996809,1.1591715,1.3832725,1.246828,1.3909652,1.126781
1.6143578,1.1748606,1.3994677,1.2490548,1.4108044,1.1216189
1.5932028,1.1466202,1.4043263,1.2525975,1.3892446,1.1216189
1.5997821,1.1460128,1.3900542,1.250978,1.4116141,1.13002
1.5995797,1.1441909,1.4074641,1.2463219,1.4057434,1.130425
1.5860162,1.1579568,1.3925848,1.2572536,1.4020995,1.1307286
1.5959357,1.1527946,1.4065531,1.2441963,1.402808,1.1259713
1.6031224,1.1604873,1.3888396,1.2502694,1.4000751,1.1190883
1.5851052,1.165852,1.3992653,1.2676793,1.4076666,1.1417615
1.6068676,1.169091,1.3946092,1.2499658,1.4059458,1.1263762
1.5869272,1.152491,1.3979495,1.2591769,1.411108,1.1259713
1.6036285,1.170002,1.3967348,1.247739,1.409286,1.1399397
1.5928991,1.1713178,1.4014921,1.251889,1.394103,1.1315384
1.6028187,1.1583617,1.4041238,1.2490548,1.3982531,1.1427737
1.5834857,1.1677752,1.3937994,1.2452084,1.410602,1.1248579
1.5994785,1.1457092,1.4059458,1.2513828,1.4003787,1.1344738
1.5747807,1.155325,1.3943055,1.2541158,1.4053385,1.1278944
1.5821698,1.1786057,1.4073629,1.2451072,1.4022007,1.1351823
1.5812589,1.1646373,1.4052373,1.251484,1.4080714,1.1231371
1.589154,1.1662568,1.3945079,1.2526988,1.3979495,1.1099786
1.5944175,1.1682812,1.3914714,1.2433865,1.416169,1.1428751
1.5902674,1.1409519,1.390358,1.2471316,1.4077678,1.1296152
1.5979601,1.1633215,1.3969373,1.2484475,1.4002775,1.1340688
1.599276,1.1618031,1.401897,1.254217,1.3980507,1.1239469
1.5818661,1.148847,1.3973421,1.2485487,1.4061482,1.129514
1.5995797,1.1646373,1.393192,1.2442975,1.3897506,1.1064358
1.5878382,1.1530982,1.3924836,1.2443987,1.4010873,1.1124078
1.5957333,1.1600825,1.3996701,1.2513828,1.4077678,1.1376116
1.5988711,1.1582605,1.3945079,1.2558365,1.4080714,1.1277932
1.5847003,1.136903,1.3933945,1.249156,1.4108044,1.1248579
1.5988711,1.1724312,1.3902566,1.2525975,1.3976457,1.13002
1.5857126,1.1510738,1.4002775,1.2565451,1.4086788,1.1231371
