Sampling rate 20 Hz,,,,,,,,,
,Mouse 1,Mouse 1,Mouse 1,Mouse 2,Mouse 2,Mouse 2,Mouse 3,Mouse 3,Mouse 3
,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1
,"10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF"
Time,465nm,405nm,Stim,465nm,405nm,Stim,465nm,405nm,Stim
175,1.7708439,1.643003,FALSE,1.8471638,1.3593847,FALSE,1.7288376,1.5346977,FALSE
176,1.782383,1.6346018,FALSE,1.8143685,1.3384321,FALSE,1.7522194,1.5451233,FALSE
177,1.7742854,1.631464,FALSE,1.8227698,1.3583724,FALSE,1.740984,1.5534233,FALSE
178,1.7575841,1.6364237,FALSE,1.8221624,1.3376223,FALSE,1.7222583,1.5412769,FALSE
179,1.7725646,1.6401689,FALSE,1.827932,1.3651541,FALSE,1.7227644,1.5335842,FALSE
180,1.7782329,1.6405737,FALSE,1.8158869,1.3598907,FALSE,1.746956,1.5277134,FALSE
181,1.7676048,1.6326786,FALSE,1.7921001,1.3579675,FALSE,1.7480694,1.550488,FALSE
182,1.7739817,1.631464,FALSE,1.8308674,1.348554,FALSE,1.7416925,1.5392525,FALSE
183,1.7632524,1.6291358,FALSE,1.828843,1.3680896,FALSE,1.7502962,1.5434026,FALSE
184,1.7510048,1.6377397,FALSE,1.8309686,1.3627249,FALSE,1.7502962,1.5390501,FALSE
185,1.7817757,1.6446226,FALSE,1.8176075,1.3662676,FALSE,1.7363279,1.5366209,FALSE
186,1.7494864,1.6193175,FALSE,1.8213527,1.3593847,FALSE,1.7533329,1.526094,FALSE
187,1.767706,1.643003,FALSE,1.8387625,1.36647,FALSE,1.7434133,1.5280172,FALSE
188,1.7636573,1.6396627,FALSE,1.8271222,1.3586761,FALSE,1.745539,1.5250818,FALSE
189,1.761228,1.6398653,FALSE,1.8305637,1.3627249,FALSE,1.7377449,1.5327744,FALSE
190,1.755256,1.6154712,FALSE,1.8233771,1.3595871,FALSE,1.7342023,1.5418843,FALSE
191,1.7770183,1.6330835,FALSE,1.8041453,1.347137,FALSE,1.7208412,1.542694,FALSE
192,1.7757025,1.645736,FALSE,1.8312722,1.3585749,FALSE,1.7328864,1.5387465,FALSE
193,1.7689208,1.6239737,FALSE,1.8268186,1.3675834,FALSE,1.7280278,1.5434026,FALSE
194,1.7692244,1.6199249,FALSE,1.8055624,1.3561455,FALSE,1.7373401,1.5332806,FALSE
195,1.7594061,1.644825,FALSE,1.8282356,1.3570565,FALSE,1.7361255,1.5262964,FALSE
196,1.7594061,1.6228603,FALSE,1.8240856,1.3561455,FALSE,1.734101,1.5345964,FALSE
197,1.7758037,1.6255932,FALSE,1.8206441,1.3443028,FALSE,1.742806,1.5330781,FALSE
198,1.7624426,1.6378409,FALSE,1.8200368,1.3506796,FALSE,1.7364291,1.542694,FALSE
199,1.7678072,1.6323749,FALSE,1.8273246,1.351287,FALSE,1.7434133,1.5353049,FALSE
200,1.7666938,1.6288322,FALSE,1.816899,1.3530078,FALSE,1.7425023,1.5226525,FALSE
201,1.7778281,1.6177993,FALSE,1.8151783,1.3526028,FALSE,1.7259022,1.5419855,FALSE
202,1.7767147,1.6366261,FALSE,1.825199,1.371531,FALSE,1.7346071,1.5467428,FALSE
203,1.7706414,1.6469506,FALSE,1.8249966,1.3622187,FALSE,1.7354169,1.5214378,FALSE
204,1.7618353,1.62782,FALSE,1.8130527,1.3629273,FALSE,1.7311656,1.5320659,FALSE
205,1.7760061,1.6492786,FALSE,1.8286405,1.3412663,FALSE,1.7271168,1.5365196,FALSE
206,1.7596085,1.641586,FALSE,1.8325881,1.3593847,FALSE,1.7356193,1.5372281,FALSE
207,1.7840025,1.6359177,FALSE,1.8212515,1.3518944,FALSE,1.7596085,1.5310537,FALSE
208,1.7831928,1.6500884,FALSE,1.8215551,1.3659639,FALSE,1.76305,1.5278146,FALSE
209,1.785116,1.6421933,FALSE,1.8254014,1.3530078,FALSE,1.7394657,1.5215391,FALSE
210,1.7787391,1.6403713,FALSE,1.8312722,1.3368125,FALSE,1.7558633,1.5217415,FALSE
211,1.7843062,1.6333871,FALSE,1.8360295,1.3607005,FALSE,1.7394657,1.532572,FALSE
212,1.7705402,1.6327798,FALSE,1.8160893,1.3538175,FALSE,1.7497902,1.5480586,FALSE
213,1.7790427,1.6567689,FALSE,1.8188221,1.3712274,FALSE,1.760317,1.5352037,FALSE
214,1.7626451,1.6410799,FALSE,1.825199,1.3547285,FALSE,1.7528267,1.5355074,FALSE
215,1.7937196,1.634703,FALSE,1.8141661,1.3568541,FALSE,1.722562,1.5271062,FALSE
216,1.7717549,1.6395615,FALSE,1.842204,1.357259,FALSE,1.7404779,1.5373293,FALSE
217,1.780561,1.6321725,FALSE,1.8190246,1.3619151,FALSE,1.7345059,1.5226525,FALSE
218,1.7808647,1.6320713,FALSE,1.8102185,1.3434931,FALSE,1.7344047,1.5368233,FALSE
219,1.7584951,1.6474568,FALSE,1.8170003,1.3397479,FALSE,1.7327852,1.5331793,FALSE
220,1.7638597,1.6472542,FALSE,1.8222637,1.3742639,FALSE,1.7439194,1.5458318,FALSE
221,1.7753989,1.6455336,FALSE,1.8213527,1.3407601,FALSE,1.7375425,1.5309525,FALSE
222,1.7605195,1.6336908,FALSE,1.8213527,1.3607005,FALSE,1.7325827,1.5417831,FALSE
223,1.7733744,1.6399665,FALSE,1.8277296,1.3669761,FALSE,1.7338986,1.5485648,FALSE
224,1.7654792,1.6288322,FALSE,1.810927,1.3631297,FALSE,1.7293437,1.5290294,FALSE
